mmsi,ship_name,latitude,longitude,timestamp,message_type,ship_type,cog,sog,heading,destination,call_sign,imo_number,vessel_category,threat_range_km,risk_level,threat_description,_kafka_key,_kafka_partition,_kafka_offset
413577330,SHUN TAI18,22.31425,114.15067,2026-06-19 19:46:03.125182246 +0000 UTC,ShipStaticData,70,,,,HK,,0,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413577330,0,1
412472910,FULI288,22.30862,114.1246,2026-06-19 19:46:11.23494035 +0000 UTC,PositionReport,,360,0,258,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412472910,0,2
413907062,SUIDEYANG198,22.34847,114.11511,2026-06-19 19:46:11.810655044 +0000 UTC,PositionReport,,121,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413907062,0,3
413595490,YUAN JING HE,1.16876,103.81909,2026-06-19 19:46:17.164372274 +0000 UTC,PositionReport,,67.7,13.3,67,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413595490,0,4
414682000,LIANG XIANG 82,26.34931,120.79606,2026-06-19 19:46:18.471738324 +0000 UTC,PositionReport,,211,8.5,218,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414682000,0,5
413521330,DONG HE LUN,25.17449,121.35466,2026-06-19 19:46:18.992638406 +0000 UTC,PositionReport,,329.3,0.2,242,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413521330,0,6
413311110,DING HENG 19,1.2343,103.79496,2026-06-19 19:46:31.74984252 +0000 UTC,PositionReport,,45.5,0.1,11,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413311110,0,8
413906548,ZHUHANG28,22.30914,114.15983,2026-06-19 19:46:37.479446112 +0000 UTC,StaticDataReport,,,,,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906548,0,9
413862375,BAOFENG2,22.3059,114.159,2026-06-19 19:46:46.064747577 +0000 UTC,StaticDataReport,,,,,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413862375,0,10
413800827,QIJI636,22.31489,114.15964,2026-06-19 19:46:49.923243471 +0000 UTC,StandardClassBPositionReport,,226.6,0,226,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413800827,0,11
413900364,BOSHIHANG8,22.35948,114.11354,2026-06-19 19:46:59.298088566 +0000 UTC,ExtendedClassBPositionReport,,,,,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413900364,0,13
413906647,FENGNIAN 96,22.36404,113.93635,2026-06-19 19:47:00.529536657 +0000 UTC,StaticDataReport,,,,,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906647,0,14
414351850,YANGWANG1,22.36345,113.93035,2026-06-19 19:47:09.297589601 +0000 UTC,ShipStaticData,70,,,,TAISHAN,BPKO2,0,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414351850,0,16
413862375,BAOFENG2,22.3059,114.159,2026-06-19 19:47:09.643424786 +0000 UTC,StandardClassBPositionReport,,0,0,82,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413862375,0,17
414351850,YANGWANG1,22.36343,113.93035,2026-06-19 19:47:10.838514043 +0000 UTC,PositionReport,,213.3,0,511,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414351850,0,18
412472910,FULI288,22.30861,114.12457,2026-06-19 19:47:11.233694422 +0000 UTC,PositionReport,,360,0,258,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412472910,0,19
413800827,QIJI636,22.3149,114.15964,2026-06-19 19:47:15.507089393 +0000 UTC,PositionReport,,226.6,0,226,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413800827,0,20
413346110,RENJIANZHUHAI,26.55957,121.01199,2026-06-19 19:47:41.508081232 +0000 UTC,PositionReport,,215.5,8.5,221,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413346110,0,21
413391750,NANFANGHAIGONG,22.41223,113.86612,2026-06-19 19:47:48.822829597 +0000 UTC,PositionReport,,360,0,511,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413391750,0,22
413273890,GUANG XING 398,22.2988,114.13237,2026-06-19 19:47:53.933947659 +0000 UTC,PositionReport,,285.3,1.7,511,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413273890,0,23
414265000,JINNING7,34.67737,129.10056,2026-06-19 19:47:57.420163599 +0000 UTC,PositionReport,,35.2,15.2,35,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414265000,0,24
413287970,NING YANG YOU 9,22.49194,113.74813,2026-06-19 19:47:57.776711987 +0000 UTC,PositionReport,,162.8,10.8,163,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413287970,0,25
413850324,FULI368,22.34836,114.115,2026-06-19 19:47:58.303733935 +0000 UTC,StandardClassBPositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413850324,0,26
413310890,NANHANG717,22.36482,113.95225,2026-06-19 19:47:58.617408621 +0000 UTC,PositionReport,,360,0,200,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413310890,0,27
413906548,ZHUHANG28,22.30915,114.15983,2026-06-19 19:48:04.326545033 +0000 UTC,PositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906548,0,29
413906548,ZHUHANG28,22.30915,114.15983,2026-06-19 19:48:14.653731824 +0000 UTC,ShipStaticData,70,,,,XIANGGANG,,0,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906548,0,31
413054000,XIN QING DAO,22.39098,113.89569,2026-06-19 19:48:17.580416116 +0000 UTC,ShipStaticData,71,,,,CN SHK,BPAR,9270452,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413054000,0,32
413060000,XIN PU DONG,1.22011,103.92433,2026-06-19 19:48:18.159011745 +0000 UTC,PositionReport,,67,17,67,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413060000,0,33
413494920,YIN ZHU HU,22.3086,114.15429,2026-06-19 19:48:22.494277966 +0000 UTC,ShipStaticData,60,,,,HK<>NS,BQMR,9852987,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413494920,0,34
412529197,ZHUDAN5351,22.35784,114.11304,2026-06-19 19:48:31.98409588 +0000 UTC,StandardClassBPositionReport,,312.6,0.1,511,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412529197,0,36
413595490,YUAN JING HE,1.17196,103.82713,2026-06-19 19:48:36.833335783 +0000 UTC,PositionReport,,69.1,13.4,68,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413595490,0,38
413276420,NANGANG99,22.44678,113.88772,2026-06-19 19:48:41.980649904 +0000 UTC,PositionReport,,168.8,1.2,189,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413276420,0,39
413856105,FENG NIAN 99,22.30474,114.12377,2026-06-19 19:48:48.210052342 +0000 UTC,StandardClassBPositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413856105,0,41
413465130,HUIWAN306,22.34653,114.11273,2026-06-19 19:48:49.055653673 +0000 UTC,PositionReport,,19.6,0,342,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413465130,0,42
414265000,JINNING7,34.68084,129.10353,2026-06-19 19:48:57.125475543 +0000 UTC,PositionReport,,35.7,15.2,34,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414265000,0,43
413496590,ZHONG SHAN 6,22.309,114.15431,2026-06-19 19:49:03.380838738 +0000 UTC,PositionReport,,346.6,0.1,91,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413496590,0,44
